season;time;holidays;events;max load (MW)
winter;T1;Y;N;69198
winter;T2;N;N;78529
winter;T3;N;N;78024
winter;T3;N;N;78605
winter;T1;N;N;90516
winter;T1;N;Y;92051
winter;T1;N;N;92513
winter;T1;N;N;91447
winter;T2;N;N;90765
winter;T3;N;N;83444
winter;T3;N;N;80085
winter;T1;N;N;88927
winter;T1;N;N;85642
winter;T1;N;N;84767
winter;T1;N;N;84406
winter;T2;N;N;82431
winter;T3;N;N;71915
winter;T3;N;N;69573
winter;T1;N;N;79362
winter;T1;N;N;81671
winter;T1;N;N;82807
winter;T1;N;N;82078
winter;T2;N;N;77154
winter;T3;N;N;70452
winter;T3;N;N;69258
winter;T1;N;N;80830
winter;T1;N;N;82186
winter;T1;N;N;81999
winter;T1;N;N;81315
winter;T2;N;N;81690
winter;T3;N;N;74329
winter;T3;N;N;74103
winter;T1;N;N;84840
winter;T1;N;N;84014
winter;T1;N;N;82626
winter;T1;N;N;78775
winter;T2;N;N;76673
winter;T3;N;N;74534
winter;T3;N;N;72544
winter;T1;N;N;80083
winter;T1;N;N;80903
winter;T1;N;N;81183
winter;T1;N;N;82078
winter;T2;N;N;79762
winter;T3;N;Y;75143
winter;T3;N;N;73767
winter;T1;N;N;80440
winter;T1;N;N;79165
winter;T1;N;N;78154
winter;T1;N;N;77717
winter;T2;N;N;76682
winter;T3;N;N;67708
winter;T3;N;N;66917
winter;T1;N;N;75624
winter;T1;N;N;74148
winter;T1;N;N;72103
winter;T1;N;N;71972
winter;T2;N;N;70034
winter;T3;N;N;61215
spr/fall;T3;N;N;61361
spr/fall;T1;N;N;67606
spr/fall;T1;N;N;70450
spr/fall;T1;N;N;73784
spr/fall;T1;N;N;75624
spr/fall;T2;N;N;73693
spr/fall;T3;N;N;65831
spr/fall;T3;N;N;63406
spr/fall;T1;N;N;71190
spr/fall;T1;N;N;71557
spr/fall;T1;N;N;69894
spr/fall;T1;N;N;68988
spr/fall;T2;N;N;66959
spr/fall;T3;N;N;59438
spr/fall;T3;N;N;57313
spr/fall;T1;N;N;64255
spr/fall;T1;N;N;64601
spr/fall;T1;N;N;63564
spr/fall;T1;N;N;61983
spr/fall;T2;N;N;64268
spr/fall;T3;N;N;60425
spr/fall;T3;N;N;59652
spr/fall;T1;N;N;65720
spr/fall;T1;N;N;68561
spr/fall;T1;N;N;69444
spr/fall;T1;N;N;67918
spr/fall;T2;N;N;65435
spr/fall;T3;N;N;61603
spr/fall;T3;N;Y;59520
spr/fall;T1;N;N;67385
spr/fall;T1;N;N;68386
spr/fall;T1;N;N;66902
spr/fall;T1;N;N;65631
spr/fall;T2;N;N;63899
spr/fall;T3;N;N;55608
spr/fall;T3;N;Y;52217
spr/fall;T1;N;N;60392
spr/fall;T1;N;N;62159
spr/fall;T1;N;N;65042
spr/fall;T1;N;N;62145
spr/fall;T2;N;N;58730
spr/fall;T3;N;N;54148
spr/fall;T3;N;Y;51188
spr/fall;T1;Y;N;50237
spr/fall;T1;N;N;58620
spr/fall;T1;N;N;58776
spr/fall;T1;N;N;60508
spr/fall;T2;N;N;60090
spr/fall;T3;N;N;54229
spr/fall;T3;N;N;51445
spr/fall;T1;N;N;59293
spr/fall;T1;N;N;59244
spr/fall;T1;N;N;58215
spr/fall;T1;N;N;57064
spr/fall;T2;N;N;55710
spr/fall;T3;N;N;51093
spr/fall;T3;N;N;50452
spr/fall;T1;N;N;60102
spr/fall;T1;N;N;61847
spr/fall;T1;N;N;62326
spr/fall;T1;N;N;59894
spr/fall;T2;Y;N;48357
spr/fall;T3;N;N;49416
spr/fall;T3;N;N;48028
spr/fall;T1;N;N;56680
spr/fall;T1;N;N;58664
spr/fall;T1;N;N;58277
spr/fall;T1;N;N;56217
spr/fall;T2;Y;N;48662
spr/fall;T3;N;Y;48678
spr/fall;T3;N;N;46526
spr/fall;T1;N;N;55637
spr/fall;T1;N;N;57453
spr/fall;T1;N;N;57601
spr/fall;T1;N;N;57134
spr/fall;T2;N;N;57294
spr/fall;T3;N;N;50533
spr/fall;T3;N;N;47847
spr/fall;T1;N;N;55832
spr/fall;T1;N;N;56216
spr/fall;T1;N;N;55634
spr/fall;T1;Y;N;46995
spr/fall;T2;N;N;50268
spr/fall;T3;N;N;48155
spr/fall;T3;N;N;46616
spr/fall;T1;N;N;55958
spr/fall;T1;N;N;56352
spr/fall;T1;N;N;56217
spr/fall;T1;N;N;57100
spr/fall;T2;N;N;55591
spr/fall;T3;N;N;48647
spr/fall;T3;N;Y;45860
summer;T1;Y;N;46874
summer;T1;N;N;55809
summer;T1;N;N;56602
summer;T1;N;N;56233
summer;T2;N;N;55330
summer;T3;N;N;49607
summer;T3;N;Y;46332
summer;T1;N;N;56491
summer;T1;N;N;56731
summer;T1;N;N;57514
summer;T1;N;N;56991
summer;T2;N;N;55943
summer;T3;N;N;49541
summer;T3;N;N;46750
summer;T1;N;N;57111
summer;T1;N;N;56639
summer;T1;N;N;56934
summer;T1;N;N;57552
summer;T2;N;N;56588
summer;T3;N;N;49425
summer;T3;N;Y;46380
summer;T1;N;N;55277
summer;T1;N;N;56540
summer;T1;N;N;57197
summer;T1;N;N;57745
summer;T2;N;N;56944
summer;T3;N;N;49750
summer;T3;N;N;48401
summer;T1;N;N;58471
summer;T1;N;N;60508
summer;T1;N;N;61111
summer;T1;N;N;60576
summer;T2;N;N;59149
summer;T3;N;N;51606
summer;T3;N;N;48397
summer;T1;N;N;57383
summer;T1;N;N;57830
summer;T1;N;N;57516
summer;T1;N;N;57378
summer;T2;N;N;56582
summer;T3;N;N;50021
summer;T3;N;N;47593
summer;T1;N;N;52509
summer;T1;Y;N;47283
summer;T1;N;N;57725
summer;T1;N;N;58867
summer;T2;N;N;56944
summer;T3;N;N;48724
summer;T3;N;N;46502
summer;T1;N;N;56151
summer;T1;N;N;57956
summer;T1;N;N;57844
summer;T1;N;N;58095
summer;T2;N;N;56307
summer;T3;N;N;48573
summer;T3;N;N;47126
summer;T1;N;N;55013
summer;T1;N;N;55236
summer;T1;N;N;55704
summer;T1;N;N;55126
summer;T2;N;N;53691
summer;T3;N;N;48127
summer;T3;N;N;44398
summer;T1;N;N;50150
summer;T1;N;N;51259
summer;T1;N;N;51944
summer;T1;N;N;52417
summer;T2;N;N;51385
summer;T3;N;N;46402
summer;T3;N;N;43934
summer;T1;N;N;49377
summer;T1;N;N;50223
summer;T1;N;N;50729
summer;T1;N;N;51379
summer;T2;N;N;51333
summer;T3;Y;N;45647
summer;T3;N;N;45718
summer;T1;N;N;52163
summer;T1;N;N;53447
summer;T1;N;N;54652
summer;T1;N;N;55207
summer;T2;N;N;53233
summer;T3;N;N;47897
summer;T3;N;N;46609
summer;T1;N;N;55599
summer;T1;N;N;55853
summer;T1;N;N;55624
summer;T1;N;N;56879
summer;T2;N;N;55926
summer;T3;N;N;48184
summer;T3;N;N;46449
summer;T1;N;N;56225
spr/fall;T1;N;N;58292
spr/fall;T1;N;N;57637
spr/fall;T1;N;N;57505
spr/fall;T2;N;N;57035
spr/fall;T3;N;N;49126
spr/fall;T3;N;N;45908
spr/fall;T1;N;N;55741
spr/fall;T1;N;N;57008
spr/fall;T1;N;N;57291
spr/fall;T1;N;N;57369
spr/fall;T2;N;N;56410
spr/fall;T3;N;N;49186
spr/fall;T3;N;N;46410
spr/fall;T1;N;N;55474
spr/fall;T1;N;N;56758
spr/fall;T1;N;N;58291
spr/fall;T1;N;N;57493
spr/fall;T2;N;N;56602
spr/fall;T3;N;N;49647
spr/fall;T3;N;N;46631
spr/fall;T1;N;N;55893
spr/fall;T1;N;N;56724
spr/fall;T1;N;N;56894
spr/fall;T1;N;N;56909
spr/fall;T2;N;N;55767
spr/fall;T3;N;N;49567
spr/fall;T3;N;N;46832
spr/fall;T1;N;N;55774
spr/fall;T1;N;N;56563
spr/fall;T1;N;N;57043
spr/fall;T1;N;N;57014
spr/fall;T2;N;N;56655
spr/fall;T3;N;N;50593
spr/fall;T3;N;N;49130
spr/fall;T1;N;N;58567
spr/fall;T1;N;N;58508
spr/fall;T1;N;N;58141
spr/fall;T1;N;N;58383
spr/fall;T2;N;N;57483
spr/fall;T3;N;N;50589
spr/fall;T3;N;N;50314
spr/fall;T1;N;N;58797
spr/fall;T1;N;N;60695
spr/fall;T1;N;N;62956
spr/fall;T1;N;N;66496
spr/fall;T2;N;N;67536
spr/fall;T3;N;N;59145
spr/fall;T3;N;N;59153
spr/fall;T1;N;N;68844
spr/fall;T1;N;N;68083
spr/fall;T1;N;N;66931
spr/fall;T1;N;N;65530
spr/fall;T2;N;N;64463
spr/fall;T3;N;N;56247
spr/fall;T3;N;Y;53271
spr/fall;T1;N;N;64777
spr/fall;T1;N;N;65250
spr/fall;T1;N;N;65182
spr/fall;T1;N;N;64560
spr/fall;T2;N;N;64116
spr/fall;T3;N;N;56273
spr/fall;T3;Y;N;53376
spr/fall;T1;N;N;67859
spr/fall;T1;N;N;68790
spr/fall;T1;N;N;70770
spr/fall;T1;N;N;71862
spr/fall;T2;N;N;70057
spr/fall;T3;N;N;64254
spr/fall;T3;N;N;62318
spr/fall;T1;N;N;74483
spr/fall;T1;N;N;74503
spr/fall;T1;Y;N;65791
spr/fall;T1;N;N;71352
spr/fall;T2;N;N;66478
spr/fall;T3;N;N;59785
spr/fall;T3;N;N;57108
spr/fall;T1;N;N;66515
